row_id,order_id,order_date,ship_date,ship_mode
40,CA-2012-117415,2012-12-27,2012-12-31,Standard Class
41,CA-2012-117415,2012-12-27,2012-12-31,Standard Class
42,CA-2014-120999,2014-09-11,2014-09-16,Standard Class
43,CA-2013-101343,2013-07-18,2013-07-23,Standard Class
44,CA-2014-139619,2014-09-20,2014-09-24,Standard Class
45,CA-2013-118255,2013-03-12,2013-03-14,First Class
46,CA-2013-118255,2013-03-12,2013-03-14,First Class
47,CA-2011-146703,2011-10-20,2011-10-25,Second Class
48,CA-2013-169194,2013-06-21,2013-06-26,Standard Class
49,CA-2013-169194,2013-06-21,2013-06-26,Standard Class
50,CA-2012-115742,2012-04-18,2012-04-22,Standard Class
51,CA-2012-115742,2012-04-18,2012-04-22,Standard Class
52,CA-2012-115742,2012-04-18,2012-04-22,Standard Class
53,CA-2012-115742,2012-04-18,2012-04-22,Standard Class
54,CA-2013-105816,2013-12-12,2013-12-18,Standard Class
55,CA-2013-105816,2013-12-12,2013-12-18,Standard Class
56,CA-2013-111682,2013-06-18,2013-06-19,First Class
57,CA-2013-111682,2013-06-18,2013-06-19,First Class
58,CA-2013-111682,2013-06-18,2013-06-19,First Class
59,CA-2013-111682,2013-06-18,2013-06-19,First Class
60,CA-2013-111682,2013-06-18,2013-06-19,First Class
61,CA-2013-111682,2013-06-18,2013-06-19,First Class
62,CA-2013-111682,2013-06-18,2013-06-19,First Class
63,CA-2012-135545,2012-11-24,2012-11-30,Standard Class
64,CA-2012-135545,2012-11-24,2012-11-30,Standard Class
65,CA-2012-135545,2012-11-24,2012-11-30,Standard Class
66,CA-2012-135545,2012-11-24,2012-11-30,Standard Class
67,US-2012-164175,2012-04-30,2012-05-05,Standard Class
68,CA-2011-106376,2011-12-05,2011-12-10,Standard Class
69,CA-2011-106376,2011-12-05,2011-12-10,Standard Class
70,CA-2013-119823,2013-06-05,2013-06-07,First Class
71,CA-2013-106075,2013-09-19,2013-09-24,Standard Class
72,CA-2014-114440,2014-09-15,2014-09-18,Second Class
73,US-2012-134026,2012-04-26,2012-05-02,Standard Class
74,US-2012-134026,2012-04-26,2012-05-02,Standard Class
75,US-2012-134026,2012-04-26,2012-05-02,Standard Class
76,US-2014-118038,2014-12-10,2014-12-12,First Class
77,US-2014-118038,2014-12-10,2014-12-12,First Class
78,US-2014-118038,2014-12-10,2014-12-12,First Class
79,US-2011-147606,2011-11-26,2011-12-01,Second Class
80,CA-2013-127208,2013-06-13,2013-06-16,First Class
81,CA-2013-127208,2013-06-13,2013-06-16,First Class
82,CA-2011-139451,2011-10-12,2011-10-16,Standard Class
83,CA-2011-139451,2011-10-12,2011-10-16,Standard Class
84,CA-2012-149734,2012-09-03,2012-09-08,Standard Class
85,US-2014-119662,2014-11-14,2014-11-17,First Class
86,CA-2014-140088,2014-05-29,2014-05-31,Second Class
87,CA-2014-155558,2014-10-27,2014-11-03,Standard Class
88,CA-2014-155558,2014-10-27,2014-11-03,Standard Class
89,CA-2013-159695,2013-04-06,2013-04-11,Second Class
90,CA-2013-109806,2013-09-18,2013-09-23,Standard Class
91,CA-2013-109806,2013-09-18,2013-09-23,Standard Class
92,CA-2013-109806,2013-09-18,2013-09-23,Standard Class
93,CA-2012-149587,2012-01-31,2012-02-05,Second Class
94,CA-2012-149587,2012-01-31,2012-02-05,Second Class
95,CA-2012-149587,2012-01-31,2012-02-05,Second Class
96,US-2014-109484,2014-11-07,2014-11-13,Standard Class
97,CA-2014-161018,2014-11-10,2014-11-12,Second Class
98,CA-2014-157833,2014-06-18,2014-06-21,First Class
99,CA-2013-149223,2013-09-07,2013-09-12,Standard Class
100,CA-2013-158568,2013-08-30,2013-09-03,Standard Class
101,CA-2013-158568,2013-08-30,2013-09-03,Standard Class
102,CA-2013-158568,2013-08-30,2013-09-03,Standard Class
103,CA-2013-129903,2013-12-02,2013-12-05,Second Class
104,US-2012-156867,2012-11-13,2012-11-17,Standard Class
105,US-2012-156867,2012-11-13,2012-11-17,Standard Class
106,US-2012-156867,2012-11-13,2012-11-17,Standard Class
107,CA-2014-119004,2014-11-24,2014-11-29,Standard Class
108,CA-2014-119004,2014-11-24,2014-11-29,Standard Class
109,CA-2014-119004,2014-11-24,2014-11-29,Standard Class
110,CA-2012-129476,2012-10-15,2012-10-20,Standard Class
111,CA-2014-146780,2014-12-26,2014-12-31,Standard Class
112,CA-2013-128867,2013-11-04,2013-11-11,Standard Class
113,CA-2013-128867,2013-11-04,2013-11-11,Standard Class
114,CA-2011-115259,2011-08-25,2011-08-27,Second Class
115,CA-2011-115259,2011-08-25,2011-08-27,Second Class
116,CA-2011-115259,2011-08-25,2011-08-27,Second Class
117,CA-2011-115259,2011-08-25,2011-08-27,Second Class
118,CA-2012-110457,2012-03-02,2012-03-06,Standard Class
119,US-2012-136476,2012-04-05,2012-04-10,Standard Class
120,CA-2013-103730,2013-06-13,2013-06-16,First Class
121,CA-2013-103730,2013-06-13,2013-06-16,First Class
122,CA-2013-103730,2013-06-13,2013-06-16,First Class
123,CA-2013-103730,2013-06-13,2013-06-16,First Class
124,CA-2013-103730,2013-06-13,2013-06-16,First Class
125,US-2011-152030,2011-12-26,2011-12-28,Second Class
126,US-2011-134614,2011-09-20,2011-09-25,Standard Class
127,US-2014-107272,2014-11-06,2014-11-13,Standard Class
128,US-2014-107272,2014-11-06,2014-11-13,Standard Class
129,US-2013-125969,2013-11-07,2013-11-11,Second Class
130,US-2013-125969,2013-11-07,2013-11-11,Second Class
131,US-2014-164147,2014-02-03,2014-02-06,First Class
132,US-2014-164147,2014-02-03,2014-02-06,First Class
133,US-2014-164147,2014-02-03,2014-02-06,First Class
134,CA-2013-145583,2013-10-14,2013-10-20,Standard Class
135,CA-2013-145583,2013-10-14,2013-10-20,Standard Class
136,CA-2013-145583,2013-10-14,2013-10-20,Standard Class
137,CA-2013-145583,2013-10-14,2013-10-20,Standard Class
138,CA-2013-145583,2013-10-14,2013-10-20,Standard Class
139,CA-2013-145583,2013-10-14,2013-10-20,Standard Class
140,CA-2013-145583,2013-10-14,2013-10-20,Standard Class
141,CA-2013-110366,2013-09-06,2013-09-08,Second Class
142,CA-2014-106180,2014-09-19,2014-09-24,Standard Class
143,CA-2014-106180,2014-09-19,2014-09-24,Standard Class
144,CA-2014-106180,2014-09-19,2014-09-24,Standard Class
145,CA-2014-155376,2014-12-23,2014-12-28,Standard Class
146,CA-2012-110744,2012-09-07,2012-09-12,Standard Class
147,CA-2011-110072,2011-10-22,2011-10-28,Standard Class
148,CA-2013-114489,2013-12-06,2013-12-10,Standard Class
149,CA-2013-114489,2013-12-06,2013-12-10,Standard Class
150,CA-2013-114489,2013-12-06,2013-12-10,Standard Class
151,CA-2013-114489,2013-12-06,2013-12-10,Standard Class
152,CA-2013-158834,2013-03-14,2013-03-17,First Class
153,CA-2013-158834,2013-03-14,2013-03-17,First Class
154,CA-2012-124919,2012-05-31,2012-06-02,First Class
155,CA-2012-124919,2012-05-31,2012-06-02,First Class
156,CA-2012-124919,2012-05-31,2012-06-02,First Class
157,CA-2012-118948,2012-05-28,2012-06-03,Standard Class
158,CA-2011-104269,2011-03-01,2011-03-06,Second Class
159,CA-2013-114104,2013-11-21,2013-11-25,Standard Class
160,CA-2013-114104,2013-11-21,2013-11-25,Standard Class
161,CA-2013-162733,2013-05-12,2013-05-13,First Class
162,CA-2012-119697,2012-12-28,2012-12-31,Second Class
163,CA-2013-154508,2013-11-17,2013-11-21,Standard Class
164,CA-2013-113817,2013-11-08,2013-11-12,Standard Class
165,CA-2011-139892,2011-09-08,2011-09-12,Standard Class
166,CA-2011-139892,2011-09-08,2011-09-12,Standard Class
167,CA-2011-139892,2011-09-08,2011-09-12,Standard Class
168,CA-2011-139892,2011-09-08,2011-09-12,Standard Class
169,CA-2011-139892,2011-09-08,2011-09-12,Standard Class
170,CA-2011-139892,2011-09-08,2011-09-12,Standard Class
171,CA-2011-139892,2011-09-08,2011-09-12,Standard Class
172,CA-2011-118962,2011-08-05,2011-08-09,Standard Class
173,CA-2011-118962,2011-08-05,2011-08-09,Standard Class
174,CA-2011-118962,2011-08-05,2011-08-09,Standard Class
175,US-2011-100853,2011-09-14,2011-09-19,Standard Class
176,US-2011-100853,2011-09-14,2011-09-19,Standard Class
177,US-2014-152366,2014-04-22,2014-04-26,Second Class
178,US-2012-101511,2012-11-21,2012-11-23,Second Class
179,US-2012-101511,2012-11-21,2012-11-23,Second Class
180,CA-2012-137225,2012-12-15,2012-12-19,Standard Class
181,CA-2011-166191,2011-12-05,2011-12-09,Second Class
182,CA-2011-166191,2011-12-05,2011-12-09,Second Class
183,CA-2011-158274,2011-11-19,2011-11-24,Second Class
184,CA-2011-158274,2011-11-19,2011-11-24,Second Class
185,CA-2011-158274,2011-11-19,2011-11-24,Second Class
186,CA-2013-105018,2013-11-29,2013-12-03,Standard Class
187,CA-2011-123260,2011-08-26,2011-08-30,Standard Class
188,CA-2013-157000,2013-07-17,2013-07-23,Standard Class
189,CA-2013-157000,2013-07-17,2013-07-23,Standard Class
190,CA-2012-102281,2012-10-12,2012-10-14,First Class
191,CA-2012-102281,2012-10-12,2012-10-14,First Class
192,CA-2012-102281,2012-10-12,2012-10-14,First Class
193,CA-2012-102281,2012-10-12,2012-10-14,First Class
194,CA-2012-102281,2012-10-12,2012-10-14,First Class
195,CA-2012-131457,2012-10-31,2012-11-06,Standard Class
196,CA-2011-140004,2011-03-21,2011-03-25,Standard Class
197,CA-2011-140004,2011-03-21,2011-03-25,Standard Class
198,CA-2014-107720,2014-11-07,2014-11-14,Standard Class
199,US-2014-124303,2014-07-07,2014-07-14,Standard Class
200,US-2014-124303,2014-07-07,2014-07-14,Standard Class
201,CA-2014-105074,2014-06-25,2014-06-30,Standard Class
202,CA-2011-133690,2011-08-03,2011-08-05,First Class
203,CA-2011-133690,2011-08-03,2011-08-05,First Class
204,US-2014-116701,2014-12-18,2014-12-22,Second Class
205,CA-2014-126382,2014-06-04,2014-06-08,Standard Class
206,CA-2014-108329,2014-12-10,2014-12-15,Standard Class
207,CA-2014-135860,2014-12-02,2014-12-08,Standard Class
208,CA-2014-135860,2014-12-02,2014-12-08,Standard Class
209,CA-2014-135860,2014-12-02,2014-12-08,Standard Class
210,CA-2014-135860,2014-12-02,2014-12-08,Standard Class
211,CA-2014-135860,2014-12-02,2014-12-08,Standard Class
212,CA-2012-101007,2012-02-09,2012-02-13,Second Class
213,CA-2012-146262,2012-01-02,2012-01-09,Standard Class
214,CA-2012-146262,2012-01-02,2012-01-09,Standard Class
215,CA-2012-146262,2012-01-02,2012-01-09,Standard Class
216,CA-2012-146262,2012-01-02,2012-01-09,Standard Class
217,CA-2012-146262,2012-01-02,2012-01-09,Standard Class
218,CA-2013-130162,2013-10-29,2013-11-02,Standard Class
219,CA-2013-130162,2013-10-29,2013-11-02,Standard Class
220,CA-2012-169397,2012-12-24,2012-12-27,First Class
221,CA-2012-169397,2012-12-24,2012-12-27,First Class
222,CA-2012-169397,2012-12-24,2012-12-27,First Class
223,CA-2012-169397,2012-12-24,2012-12-27,First Class
224,CA-2012-169397,2012-12-24,2012-12-27,First Class
225,CA-2012-169397,2012-12-24,2012-12-27,First Class
226,CA-2012-163055,2012-08-09,2012-08-16,Standard Class
227,CA-2012-163055,2012-08-09,2012-08-16,Standard Class
228,CA-2012-163055,2012-08-09,2012-08-16,Standard Class
229,US-2012-145436,2012-02-28,2012-03-04,Standard Class
230,US-2012-145436,2012-02-28,2012-03-04,Standard Class
231,US-2011-156216,2011-09-13,2011-09-17,Standard Class
232,US-2014-100930,2014-04-08,2014-04-13,Standard Class
233,US-2014-100930,2014-04-08,2014-04-13,Standard Class
234,US-2014-100930,2014-04-08,2014-04-13,Standard Class
235,US-2014-100930,2014-04-08,2014-04-13,Standard Class
236,US-2014-100930,2014-04-08,2014-04-13,Standard Class
237,CA-2014-160514,2014-11-13,2014-11-17,Standard Class
238,CA-2013-157749,2013-06-05,2013-06-10,Second Class
239,CA-2013-157749,2013-06-05,2013-06-10,Second Class
240,CA-2013-157749,2013-06-05,2013-06-10,Second Class
241,CA-2013-157749,2013-06-05,2013-06-10,Second Class
242,CA-2013-157749,2013-06-05,2013-06-10,Second Class
243,CA-2013-157749,2013-06-05,2013-06-10,Second Class
244,CA-2013-157749,2013-06-05,2013-06-10,Second Class
245,CA-2011-131926,2011-06-01,2011-06-06,Second Class
246,CA-2011-131926,2011-06-01,2011-06-06,Second Class
247,CA-2011-131926,2011-06-01,2011-06-06,Second Class
248,CA-2011-131926,2011-06-01,2011-06-06,Second Class
249,CA-2011-131926,2011-06-01,2011-06-06,Second Class
250,CA-2013-154739,2013-12-11,2013-12-16,Second Class
251,CA-2013-145625,2013-09-12,2013-09-18,Standard Class
252,CA-2013-145625,2013-09-12,2013-09-18,Standard Class
253,CA-2013-146941,2013-12-11,2013-12-14,First Class
254,CA-2013-146941,2013-12-11,2013-12-14,First Class
255,US-2012-159982,2012-11-28,2012-12-04,Standard Class
256,US-2012-159982,2012-11-28,2012-12-04,Standard Class
257,US-2012-159982,2012-11-28,2012-12-04,Standard Class
258,US-2012-159982,2012-11-28,2012-12-04,Standard Class
259,CA-2014-163139,2014-12-02,2014-12-04,Second Class
260,CA-2014-163139,2014-12-02,2014-12-04,Second Class
261,CA-2014-163139,2014-12-02,2014-12-04,Second Class
262,US-2014-155299,2014-06-09,2014-06-13,Standard Class
263,US-2011-106992,2011-09-19,2011-09-21,Second Class
264,US-2011-106992,2011-09-19,2011-09-21,Second Class
265,CA-2013-125318,2013-06-07,2013-06-14,Standard Class
266,CA-2012-155040,2012-11-10,2012-11-15,Standard Class
267,CA-2014-136826,2014-06-17,2014-06-21,Standard Class
268,CA-2013-111010,2013-01-22,2013-01-28,Standard Class
269,US-2014-145366,2014-12-10,2014-12-14,Standard Class
270,US-2014-145366,2014-12-10,2014-12-14,Standard Class
271,CA-2014-163979,2014-12-29,2015-01-03,Second Class
272,CA-2012-155334,2012-07-30,2012-07-31,First Class
273,CA-2012-155334,2012-07-30,2012-07-31,First Class
274,CA-2012-155334,2012-07-30,2012-07-31,First Class
275,CA-2014-118136,2014-09-17,2014-09-18,First Class
276,CA-2014-118136,2014-09-17,2014-09-18,First Class
277,CA-2014-132976,2014-10-14,2014-10-18,Standard Class
278,CA-2014-132976,2014-10-14,2014-10-18,Standard Class
279,CA-2014-132976,2014-10-14,2014-10-18,Standard Class
280,CA-2014-132976,2014-10-14,2014-10-18,Standard Class
281,US-2012-161991,2012-09-26,2012-09-28,Second Class
282,US-2012-161991,2012-09-26,2012-09-28,Second Class
283,CA-2012-130890,2012-11-02,2012-11-06,Standard Class
284,CA-2012-130883,2012-09-26,2012-10-02,Standard Class
285,CA-2012-130883,2012-09-26,2012-10-02,Standard Class
286,CA-2012-130883,2012-09-26,2012-10-02,Standard Class
287,CA-2013-112697,2013-12-19,2013-12-21,Second Class
288,CA-2013-112697,2013-12-19,2013-12-21,Second Class
289,CA-2013-112697,2013-12-19,2013-12-21,Second Class
290,CA-2013-110772,2013-11-21,2013-11-25,Second Class
291,CA-2013-110772,2013-11-21,2013-11-25,Second Class
292,CA-2013-110772,2013-11-21,2013-11-25,Second Class
293,CA-2013-110772,2013-11-21,2013-11-25,Second Class
294,CA-2011-111451,2011-12-26,2011-12-28,First Class
295,CA-2011-111451,2011-12-26,2011-12-28,First Class
296,CA-2011-111451,2011-12-26,2011-12-28,First Class
297,CA-2011-111451,2011-12-26,2011-12-28,First Class
298,CA-2011-111451,2011-12-26,2011-12-28,First Class
299,CA-2013-142545,2013-10-29,2013-11-04,Standard Class
300,CA-2013-142545,2013-10-29,2013-11-04,Standard Class
301,CA-2013-142545,2013-10-29,2013-11-04,Standard Class
302,CA-2013-142545,2013-10-29,2013-11-04,Standard Class
303,CA-2013-142545,2013-10-29,2013-11-04,Standard Class
304,US-2014-152380,2014-11-20,2014-11-24,Standard Class
305,CA-2012-144253,2012-05-04,2012-05-09,Second Class
306,CA-2011-130960,2011-12-30,2012-01-04,Standard Class
307,CA-2011-111003,2011-06-01,2011-06-06,Standard Class
308,CA-2011-111003,2011-06-01,2011-06-06,Standard Class
309,CA-2014-126774,2014-04-16,2014-04-18,First Class
310,CA-2013-142902,2013-09-13,2013-09-15,Second Class
311,CA-2013-142902,2013-09-13,2013-09-15,Second Class
312,CA-2013-142902,2013-09-13,2013-09-15,Second Class
313,CA-2013-142902,2013-09-13,2013-09-15,Second Class
314,CA-2011-120887,2011-09-27,2011-10-03,Standard Class
315,CA-2011-167850,2011-08-09,2011-08-16,Standard Class
316,CA-2011-167850,2011-08-09,2011-08-16,Standard Class
317,CA-2011-164259,2011-12-28,2011-12-30,First Class
318,CA-2011-164973,2011-11-04,2011-11-09,Standard Class
319,CA-2011-164973,2011-11-04,2011-11-09,Standard Class
320,CA-2011-164973,2011-11-04,2011-11-09,Standard Class
321,CA-2011-164973,2011-11-04,2011-11-09,Standard Class
322,CA-2011-164973,2011-11-04,2011-11-09,Standard Class
323,CA-2011-156601,2011-09-19,2011-09-24,Standard Class
324,CA-2013-162138,2013-04-24,2013-04-28,Standard Class
325,CA-2013-162138,2013-04-24,2013-04-28,Standard Class
326,CA-2014-153339,2014-11-04,2014-11-06,Second Class
327,US-2013-141544,2013-08-31,2013-09-02,First Class
328,US-2013-141544,2013-08-31,2013-09-02,First Class
329,US-2013-141544,2013-08-31,2013-09-02,First Class
330,US-2013-141544,2013-08-31,2013-09-02,First Class
331,US-2013-141544,2013-08-31,2013-09-02,First Class
332,US-2013-150147,2013-04-26,2013-04-30,Second Class
333,US-2013-150147,2013-04-26,2013-04-30,Second Class
334,US-2013-150147,2013-04-26,2013-04-30,Second Class
335,CA-2012-137946,2012-09-01,2012-09-04,Second Class
336,CA-2012-137946,2012-09-01,2012-09-04,Second Class
337,CA-2012-137946,2012-09-01,2012-09-04,Second Class
338,CA-2011-129924,2011-07-12,2011-07-17,Standard Class
339,CA-2011-129924,2011-07-12,2011-07-17,Standard Class
340,CA-2012-128167,2012-06-22,2012-06-26,Second Class
341,CA-2011-122336,2011-04-13,2011-04-17,Second Class
342,CA-2011-122336,2011-04-13,2011-04-17,Second Class
343,CA-2011-122336,2011-04-13,2011-04-17,Second Class
344,CA-2011-122336,2011-04-13,2011-04-17,Second Class
345,US-2012-120712,2012-12-20,2012-12-24,Standard Class
346,CA-2014-169901,2014-06-16,2014-06-20,Standard Class
347,CA-2014-134306,2014-07-09,2014-07-13,Standard Class
348,CA-2014-134306,2014-07-09,2014-07-13,Standard Class
349,CA-2014-134306,2014-07-09,2014-07-13,Standard Class
350,CA-2013-129714,2013-09-02,2013-09-04,First Class
351,CA-2013-129714,2013-09-02,2013-09-04,First Class
352,CA-2013-129714,2013-09-02,2013-09-04,First Class
353,CA-2013-129714,2013-09-02,2013-09-04,First Class
354,CA-2013-129714,2013-09-02,2013-09-04,First Class
355,CA-2013-138520,2013-04-09,2013-04-14,Standard Class
356,CA-2013-138520,2013-04-09,2013-04-14,Standard Class
357,CA-2013-138520,2013-04-09,2013-04-14,Standard Class
358,CA-2013-138520,2013-04-09,2013-04-14,Standard Class
359,CA-2013-130001,2013-04-24,2013-04-29,Standard Class
360,CA-2014-155698,2014-03-09,2014-03-12,First Class
361,CA-2014-155698,2014-03-09,2014-03-12,First Class
362,CA-2014-144904,2014-09-26,2014-10-02,Standard Class
363,CA-2014-144904,2014-09-26,2014-10-02,Standard Class
364,CA-2014-144904,2014-09-26,2014-10-02,Standard Class
365,CA-2014-144904,2014-09-26,2014-10-02,Standard Class
366,CA-2011-123344,2011-09-24,2011-09-29,Standard Class
367,CA-2013-155516,2013-10-22,2013-10-22,Same Day
368,CA-2013-155516,2013-10-22,2013-10-22,Same Day
369,CA-2013-155516,2013-10-22,2013-10-22,Same Day
370,CA-2013-155516,2013-10-22,2013-10-22,Same Day
371,CA-2014-104745,2014-05-30,2014-06-05,Standard Class
372,CA-2014-104745,2014-05-30,2014-06-05,Standard Class
373,US-2011-119137,2011-07-23,2011-07-27,Standard Class
374,US-2011-119137,2011-07-23,2011-07-27,Standard Class
375,US-2011-119137,2011-07-23,2011-07-27,Standard Class
376,US-2011-119137,2011-07-23,2011-07-27,Standard Class
377,US-2013-134656,2013-09-29,2013-10-02,First Class
378,US-2014-134481,2014-08-28,2014-09-02,Standard Class
379,CA-2012-130792,2012-04-28,2012-05-05,Standard Class
380,CA-2012-130792,2012-04-28,2012-05-05,Standard Class
381,CA-2012-130792,2012-04-28,2012-05-05,Standard Class
382,CA-2013-134775,2013-10-29,2013-10-30,First Class
383,CA-2013-134775,2013-10-29,2013-10-30,First Class
384,CA-2012-125395,2012-06-26,2012-06-29,Second Class
385,US-2012-168935,2012-11-27,2012-12-02,Standard Class
386,US-2012-168935,2012-11-27,2012-12-02,Standard Class
387,CA-2012-122756,2012-12-03,2012-12-07,Standard Class
388,CA-2012-122756,2012-12-03,2012-12-07,Standard Class
389,CA-2011-115973,2011-11-24,2011-11-26,First Class
390,CA-2014-101798,2014-12-12,2014-12-16,Standard Class
391,CA-2014-101798,2014-12-12,2014-12-16,Standard Class
392,US-2011-135972,2011-09-21,2011-09-23,Second Class
393,US-2011-135972,2011-09-21,2011-09-23,Second Class
394,US-2011-134971,2011-06-07,2011-06-10,Second Class
395,CA-2014-102946,2014-07-01,2014-07-06,Standard Class
396,CA-2014-165603,2014-10-18,2014-10-20,Second Class
397,CA-2014-165603,2014-10-18,2014-10-20,Second Class
398,CA-2012-122259,2012-10-31,2012-11-04,Standard Class
399,CA-2013-108987,2013-09-09,2013-09-11,Second Class
400,CA-2013-108987,2013-09-09,2013-09-11,Second Class
401,CA-2013-108987,2013-09-09,2013-09-11,Second Class
402,CA-2013-108987,2013-09-09,2013-09-11,Second Class
403,CA-2011-113166,2011-12-24,2011-12-26,First Class
404,CA-2011-155208,2011-04-16,2011-04-20,Standard Class
405,CA-2014-117933,2014-12-25,2014-12-30,Standard Class
406,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
407,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
408,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
409,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
410,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
411,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
412,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
413,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
414,CA-2014-117457,2014-12-09,2014-12-13,Standard Class
415,CA-2014-142636,2014-11-04,2014-11-08,Standard Class
416,CA-2014-142636,2014-11-04,2014-11-08,Standard Class
417,CA-2014-122105,2014-06-25,2014-06-29,Standard Class
418,CA-2013-148796,2013-04-15,2013-04-19,Standard Class
419,CA-2014-154816,2014-11-07,2014-11-11,Standard Class
420,CA-2014-110478,2014-03-05,2014-03-10,Standard Class
421,CA-2014-110478,2014-03-05,2014-03-10,Standard Class
422,CA-2011-142048,2011-06-22,2011-06-25,First Class
423,CA-2014-125388,2014-10-20,2014-10-24,Standard Class
424,CA-2014-125388,2014-10-20,2014-10-24,Standard Class
425,CA-2014-155705,2014-08-22,2014-08-24,Second Class
426,CA-2014-149160,2014-11-24,2014-11-27,Second Class
427,CA-2014-149160,2014-11-24,2014-11-27,Second Class
428,CA-2011-101476,2011-09-12,2011-09-13,First Class
429,CA-2014-152275,2014-10-02,2014-10-09,Standard Class
430,US-2013-123750,2013-04-16,2013-04-22,Standard Class
431,US-2013-123750,2013-04-16,2013-04-22,Standard Class
432,US-2013-123750,2013-04-16,2013-04-22,Standard Class
433,US-2013-123750,2013-04-16,2013-04-22,Standard Class
434,CA-2013-127369,2013-06-07,2013-06-08,First Class
435,US-2011-150574,2011-12-19,2011-12-25,Standard Class
436,US-2011-150574,2011-12-19,2011-12-25,Standard Class
437,CA-2013-147375,2013-06-13,2013-06-15,Second Class
438,CA-2013-147375,2013-06-13,2013-06-15,Second Class
439,CA-2014-130043,2014-09-16,2014-09-20,Standard Class
440,CA-2014-157252,2014-01-21,2014-01-24,Second Class
441,CA-2013-115756,2013-09-06,2013-09-08,Second Class
442,CA-2013-115756,2013-09-06,2013-09-08,Second Class
443,CA-2013-115756,2013-09-06,2013-09-08,Second Class
444,CA-2013-115756,2013-09-06,2013-09-08,Second Class
445,CA-2013-115756,2013-09-06,2013-09-08,Second Class
446,CA-2013-115756,2013-09-06,2013-09-08,Second Class
447,CA-2014-154214,2014-03-21,2014-03-26,Second Class
448,CA-2013-166674,2013-04-02,2013-04-04,Second Class
449,CA-2013-166674,2013-04-02,2013-04-04,Second Class
450,CA-2013-166674,2013-04-02,2013-04-04,Second Class
451,CA-2013-166674,2013-04-02,2013-04-04,Second Class
452,CA-2013-166674,2013-04-02,2013-04-04,Second Class
453,CA-2013-166674,2013-04-02,2013-04-04,Second Class
454,CA-2014-147277,2014-10-21,2014-10-25,Standard Class
455,CA-2014-147277,2014-10-21,2014-10-25,Standard Class
456,CA-2013-100153,2013-12-14,2013-12-18,Standard Class
457,US-2011-110674,2011-02-13,2011-02-19,Standard Class
458,US-2013-157945,2013-09-27,2013-10-02,Standard Class
459,US-2013-157945,2013-09-27,2013-10-02,Standard Class
460,CA-2012-109638,2012-12-15,2012-12-22,Standard Class
461,CA-2012-109638,2012-12-15,2012-12-22,Standard Class
462,CA-2012-109638,2012-12-15,2012-12-22,Standard Class
