row_id,product_id,category,sub-category,product_name
58,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
59,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
60,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
61,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
62,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
63,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
64,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
65,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
66,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
67,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
68,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
69,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
70,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
71,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
72,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
73,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
74,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
75,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
76,OFF-BI-10004182,Office Supplies,Binders,Economy Binders
77,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"
78,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
79,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
80,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
81,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
82,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
83,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
84,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
85,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
86,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
87,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
88,OFF-LA-10000134,Office Supplies,Labels,Avery 511
89,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager
90,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
91,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
92,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995
93,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999
94,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"
95,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
96,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
97,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
98,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders
99,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
100,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
101,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
102,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
103,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
104,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
105,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
106,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
107,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
108,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
109,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
110,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard
111,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
112,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
113,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"
114,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
115,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
116,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921
117,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
118,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
119,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
120,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
121,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
122,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black"
123,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
124,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
125,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
126,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
127,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
128,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
129,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black"
130,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
131,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
132,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
133,OFF-FA-10002780,Office Supplies,Fasteners,Staples
134,OFF-PA-10001804,Office Supplies,Paper,Xerox 195
135,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
136,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
137,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
138,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips
139,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors
140,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
141,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
142,OFF-AR-10000940,Office Supplies,Art,Newell 343
143,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
144,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911
145,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
146,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
147,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
148,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
149,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
150,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
151,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
152,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
153,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset
154,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
155,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883
156,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
157,OFF-AR-10001547,Office Supplies,Art,Newell 311
158,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
159,OFF-LA-10002475,Office Supplies,Labels,Avery 519
160,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone
161,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920
162,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
163,OFF-EN-10001990,Office Supplies,Envelopes,Staples
164,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
165,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters
166,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
167,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
168,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
169,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters
170,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
171,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
172,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11"
173,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913
174,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
175,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
176,OFF-LA-10003148,Office Supplies,Labels,Avery 51
177,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
178,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
179,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
180,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
181,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
182,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
183,TEC-PH-10003273,Technology,Phones,AT&T TR1909W
184,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile)
185,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
186,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
187,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
188,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
189,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
190,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
191,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
192,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
193,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
194,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford
195,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
196,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
197,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
198,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File
199,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
200,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
201,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
202,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
203,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
204,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
205,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
206,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
207,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray"
208,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
209,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
210,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
211,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
212,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB
213,OFF-LA-10004544,Office Supplies,Labels,Avery 505
214,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
215,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
216,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
217,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
218,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
219,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
220,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
221,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
222,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
223,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
224,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
225,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
226,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
227,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables
228,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest
229,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
230,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
231,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
232,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
233,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
234,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
235,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
236,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
237,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
238,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
239,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
240,FUR-FU-10004351,Furniture,Furnishings,Staples
241,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector
242,FUR-TA-10002607,Furniture,Tables,KI Conference Tables
243,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
244,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
245,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
246,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart
247,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
248,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
249,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
250,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
251,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
252,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone
253,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy"
254,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes
255,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
256,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black"
257,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
258,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone
259,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
260,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving
261,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch
262,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
263,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
264,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer
265,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone
266,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse
267,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack"
268,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands
269,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving
270,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
271,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart
272,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
273,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection
274,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders
275,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
276,OFF-AR-10001427,Office Supplies,Art,Newell 330
277,OFF-PA-10000673,Office Supplies,Paper,"Post-it Important Message Note Pad, Neon Colors, 50 Sheets/Pad"
278,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
279,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office
280,OFF-LA-10002043,Office Supplies,Labels,Avery 489
281,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders
282,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker
283,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top"
284,OFF-PA-10000474,Office Supplies,Paper,Staples
285,TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse
286,OFF-PA-10004100,Office Supplies,Paper,Xerox 216
287,OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine
288,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
289,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener
290,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips
291,OFF-LA-10004689,Office Supplies,Labels,Avery 512
292,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930
293,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
294,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
295,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs
296,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
297,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
298,OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
299,OFF-PA-10002105,Office Supplies,Paper,Xerox 223
300,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"
301,OFF-PA-10004243,Office Supplies,Paper,Xerox 1939
302,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
